source_id,ra,dec,parallax,parallax_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
35459250037248,45.33201762628042,0.3234672290649396,,,,20.820915,21.362839,20.611982,0.7508564
37280316144512,45.361122640341065,0.42636113908639545,-1.203805237410566,1.1257616,0.9901521,20.658026,20.880154,20.76277,0.11738396
40303973123072,45.33893124626256,0.45513265258631,-0.06044727072516045,0.20502752,1.064252,18.379242,18.775387,17.87621,0.89917755
41025529438592,45.18450583080039,0.4545458251432973,1.4418506132538287,1.1837785,1.0600989,20.583757,21.026535,19.312555,1.7139797
41437844707200,45.2663204384841,0.4855912566871431,0.42281151757471114,0.52297497,0.9270385,19.87022,20.289032,19.346905,0.9421272
42571715862656,45.41431730502891,0.5356494679731714,0.26103416927179535,0.38069728,1.0920092,19.386051,19.694305,18.79765,0.89665604
43331926047488,45.31953919208515,0.5457370147378101,1.1520630622373522,0.27068788,5.66907,15.592554,15.622305,14.756076,0.86622906
44465797237888,45.51944387436555,0.5048641363718239,0.8354157946518803,0.19662918,0.9219637,18.383295,,,
45668388078592,45.53629966134264,0.5449354087947947,1.2586813271629826,0.017643193,1.0184013,13.708774,13.998445,13.254796,0.7436485
45805827031168,45.55925304921527,0.5611091115590913,0.46371409552987575,0.05961351,1.0091087,16.611994,17.034058,16.013548,1.0205097
46664820488704,45.6091456774465,0.5764589974951005,0.7740002034205795,0.03765112,0.9882368,15.600054,16.014277,15.017284,0.9969921
50714973862784,45.55216741670254,0.6258104546024144,-0.5652723345533218,0.910753,0.96683913,20.470097,21.06105,20.13234,0.92871094
51264729679488,45.60023497990238,0.6642879632847635,0.3073020964674814,0.36824155,0.986015,19.580296,20.375698,18.668926,1.7067719
53704271548416,45.19452335183819,0.528603542499714,1.6442092729814752,0.70834357,1.1093686,20.133007,21.710108,19.01054,2.6995678
53983444928000,45.13410713146578,0.5172776601933351,,,,20.861212,18.777767,17.425812,1.3519554
54528905041920,45.1740573490588,0.5437712901320596,0.477410189720131,0.23120196,0.9866006,18.86396,19.043858,18.563738,0.4801197
55082956398464,45.26054325240286,0.5505315215277256,1.2916392725351442,0.05906776,1.0356084,16.241825,16.935669,15.438058,1.497611
58823872357632,45.09461339181874,0.6094249540111933,,,,21.578394,20.750427,18.805836,1.9445915
60473139810688,45.1259409278925,0.6413515656883765,0.27832133032099204,0.6084364,0.9643751,20.10757,20.215754,19.870268,0.3454857
61091615118720,45.16353452982999,0.693429078665072,2.8728013956207734,0.89932,1.0790203,20.385141,20.448952,20.277864,0.17108727
62569084080640,45.40822319408872,0.6873212389955403,0.954386111192409,0.37031844,0.94801426,19.67539,21.12323,18.438059,2.6851711
64149632051200,45.4137331346923,0.7142250096945199,0.16953779482084425,0.35341913,1.021455,19.47696,20.73284,18.232117,2.500723
64325726008320,45.482878887957376,0.7250442285583663,1.9391302571868665,0.01632247,1.0318547,11.555355,12.087568,10.86498,1.2225885
